what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1304668302627
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1304668304633
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1304668305194
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1304668305937
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1304668319395
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1304668321359
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1304668332771
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1304668335275
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1304668336067
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304668346434
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304668355755
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1304668357307
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1304668360387
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1304668369667
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1304668373425
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1304668374809
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1304668376297
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1304668379562
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1304668383598
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1304668383866
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1304668388799
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1304668394314
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304668433082
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304668466650
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304668501170
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1304668502784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304668502821
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304668510462
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304668549172
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304668550549
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304668560386
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304668568587
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304668769004
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1304668771324
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304668807280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304668808647
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304668810963
